supplier_id,supplier_name,supplier_email,supplier_type,personality,urgency,fraud_type,categories_served,bankruptcy_threshold
SUP-0001,Swift Supply,swiftsupply.sup-0001@wholesale.com,good,Enthusiastic,0.816,,Major Appliances,11
SUP-0002,Craft Direct,craftdirect.sup-0002@wholesale.com,good,Unpredictable,0.436,,Major Appliances,16
SUP-0003,Alpine Solutions,alpinesolutions.sup-0003@wholesale.com,good,Friendly,0.823,,Major Appliances,19
SUP-0004,Apex Source,apexsource.sup-0004@wholesale.com,good,Friendly,0.428,,Major Appliances,16
SUP-0005,Pacific Commerce,pacificcommerce.sup-0005@wholesale.com,good,Strategic,0.331,,Major Appliances,17
SUP-0006,Forge Hub,forgehub.sup-0006@wholesale.com,good,Tough,0.661,,Major Appliances,10
SUP-0007,Ridge Direct,ridgedirect.sup-0007@wholesale.com,good,Tough,0.719,,Major Appliances,12
SUP-0008,River Distribution,riverdistribution.sup-0008@wholesale.com,good,Enthusiastic,0.464,,Major Appliances,12
SUP-0009,Peak Express,peakexpress.sup-0009@wholesale.com,bad,Adversarial,0.141,vip_fee,Major Appliances,16
SUP-0010,Copper Wholesale,copperwholesale.sup-0010@wholesale.com,bad,Adversarial,0.137,future_discount,Major Appliances,18
SUP-0011,Forge Commerce,forgecommerce.sup-0011@wholesale.com,bad,Adversarial,0.08,qty_bait,Major Appliances,10
SUP-0012,Golden Global,goldenglobal.sup-0012@wholesale.com,good,Enthusiastic,0.714,,Small Appliances,13
SUP-0013,Solar Supply,solarsupply.sup-0013@wholesale.com,good,Unpredictable,0.67,,Small Appliances,15
SUP-0014,Apex Link,apexlink.sup-0014@wholesale.com,good,Friendly,0.71,,Small Appliances,12
SUP-0015,Apex Trading,apextrading.sup-0015@wholesale.com,good,Strategic,0.699,,Small Appliances,14
SUP-0016,Alpine Mart,alpinemart.sup-0016@wholesale.com,good,Friendly,0.589,,Small Appliances,12
SUP-0017,Steel Source,steelsource.sup-0017@wholesale.com,good,Friendly,0.344,,Small Appliances,15
SUP-0018,Golden Commerce,goldencommerce.sup-0018@wholesale.com,good,Unpredictable,0.106,,Small Appliances,12
SUP-0019,Pacific Pro,pacificpro.sup-0019@wholesale.com,bad,Adversarial,0.159,quality_downgrade,Small Appliances,19
SUP-0020,Forge Wholesale,forgewholesale.sup-0020@wholesale.com,bad,Adversarial,0.065,fake_urgency,Small Appliances,11
